E:\ACV_Classification\venv\Scripts\python.exe E:\ACV_Classification\main.py
E:\ACV_Classification\venv\lib\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
E:\ACV_Classification\venv\lib\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=ResNet101_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet101_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Validation: [0/157]	Batch Time 0.151 (0.151)	Loss 1.9546 (1.9546)	Accuracy 46.875 (46.875)
Validation: [100/157]	Batch Time 0.129 (0.128)	Loss 1.6372 (1.4883)	Accuracy 56.250 (58.601)

 * LOSS - 1.479, ACCURACY - 58.539

Epoch: [1][0/3541]	Batch Time 0.326 (0.326)	Data Load Time 0.036 (0.036)	Loss 2.2287 (2.2287)	Accuracy 46.875 (46.875)
Epoch: [1][100/3541]	Batch Time 0.127 (0.128)	Data Load Time 0.030 (0.030)	Loss 1.6164 (1.5838)	Accuracy 59.375 (55.941)
Epoch: [1][200/3541]	Batch Time 0.126 (0.127)	Data Load Time 0.031 (0.030)	Loss 1.8820 (1.5849)	Accuracy 43.750 (55.737)
Epoch: [1][300/3541]	Batch Time 0.126 (0.126)	Data Load Time 0.030 (0.030)	Loss 1.7493 (1.5707)	Accuracy 46.875 (55.824)
Epoch: [1][400/3541]	Batch Time 0.124 (0.126)	Data Load Time 0.028 (0.030)	Loss 1.2265 (1.5792)	Accuracy 68.750 (55.564)
Epoch: [1][500/3541]	Batch Time 0.125 (0.126)	Data Load Time 0.029 (0.030)	Loss 1.2473 (1.5733)	Accuracy 68.750 (55.788)
Epoch: [1][600/3541]	Batch Time 0.125 (0.126)	Data Load Time 0.029 (0.030)	Loss 1.4997 (1.5643)	Accuracy 59.375 (55.881)
Epoch: [1][700/3541]	Batch Time 0.126 (0.126)	Data Load Time 0.031 (0.030)	Loss 1.3415 (1.5614)	Accuracy 53.125 (55.862)
Epoch: [1][800/3541]	Batch Time 0.124 (0.126)	Data Load Time 0.028 (0.030)	Loss 1.8652 (1.5621)	Accuracy 56.250 (55.797)
Epoch: [1][900/3541]	Batch Time 0.126 (0.126)	Data Load Time 0.030 (0.030)	Loss 1.8498 (1.5678)	Accuracy 59.375 (55.636)
Epoch: [1][1000/3541]	Batch Time 0.126 (0.126)	Data Load Time 0.028 (0.030)	Loss 1.5007 (1.5675)	Accuracy 53.125 (55.688)
Epoch: [1][1100/3541]	Batch Time 0.125 (0.126)	Data Load Time 0.029 (0.030)	Loss 1.2549 (1.5646)	Accuracy 65.625 (55.799)
Epoch: [1][1200/3541]	Batch Time 0.127 (0.126)	Data Load Time 0.030 (0.030)	Loss 1.5358 (1.5633)	Accuracy 56.250 (55.849)
